CustomerID,Active_Subscriptions,Monthly_Subscriptions,Weekly_Subscriptions,Total_Monthly_Spend,Upcoming_Total,Next_Debit_Date,Current_Balance,Risk_Level,Top_Merchants,FR8_Message
CUST100000,1,1,0,645.62,645.29,2024-07-14,2652305.97,Low,Netflix,You have 1 active subscription(s). Total monthly spend: ₹645.62. Next debit: 2024-07-14.
CUST100001,2,2,0,4286.77,4269.81,2024-07-07,1126975.69,Low,"Amazon, Coursera","You have 2 active subscription(s). Total monthly spend: ₹4,286.77. Next debit: 2024-07-07."
CUST100002,2,1,1,1126.23,379.19,2024-07-03,1345594.07,Low,"Google, AnytimeFitness","You have 2 active subscription(s). Total monthly spend: ₹1,126.23. Next debit: 2024-07-03."
CUST100003,2,1,1,1898.27,1154.33,2024-07-05,2134585.12,Low,"Dropbox, AnytimeFitness","You have 2 active subscription(s). Total monthly spend: ₹1,898.27. Next debit: 2024-07-05."
CUST100004,4,3,1,6786.46,6626.0,2024-06-23,2426920.94,High,"Adobe, Coursera, Dropbox, TimesOfIndia","You have 4 active subscription(s). Total monthly spend: ₹6,786.46. Next debit: 2024-06-23."
CUST100005,2,2,0,958.29,952.95,2024-07-11,659786.62,High,"Apple, Dropbox",You have 2 active subscription(s). Total monthly spend: ₹958.29. Next debit: 2024-07-11.
CUST100006,4,3,1,4612.86,4460.83,2024-07-01,943755.76,High,"Amazon, Coursera, Google, TimesOfIndia","You have 4 active subscription(s). Total monthly spend: ₹4,612.86. Next debit: 2024-07-01."
CUST100007,2,2,0,192.83,192.43,2024-08-03,1508354.8,High,"Apple, Spotify",You have 2 active subscription(s). Total monthly spend: ₹192.83. Next debit: 2024-08-03.
CUST100008,4,3,1,2210.82,2057.91,2024-06-17,1055103.55,Low,"Apple, Netflix, TimesOfIndia, Zoom","You have 4 active subscription(s). Total monthly spend: ₹2,210.82. Next debit: 2024-06-17."
CUST100009,3,2,1,5884.98,5733.44,2024-06-27,996621.18,Low,"Adobe, Coursera, TimesOfIndia","You have 3 active subscription(s). Total monthly spend: ₹5,884.98. Next debit: 2024-06-27."
CUST100010,4,4,0,5704.04,5694.9,2024-05-02,1637357.13,High,"Amazon, Coursera, Dropbox, Microsoft","You have 4 active subscription(s). Total monthly spend: ₹5,704.04. Next debit: 2024-05-02."
CUST100011,2,2,0,173.07,173.01,2024-06-29,897952.63,Low,"Apple, Zee5",You have 2 active subscription(s). Total monthly spend: ₹173.07. Next debit: 2024-06-29.
CUST100012,3,3,0,1299.93,1301.17,2024-07-08,1865100.85,Low,"Amazon, Dropbox, Zee5","You have 3 active subscription(s). Total monthly spend: ₹1,299.93. Next debit: 2024-07-08."
CUST100013,3,2,1,2349.67,1597.34,2024-06-23,1778458.41,Low,"BESCOM, AnytimeFitness, Microsoft","You have 3 active subscription(s). Total monthly spend: ₹2,349.67. Next debit: 2024-06-23."
CUST100014,4,4,0,4546.1,4574.0,2024-07-16,504916.96,High,"Amazon, Apple, Coursera, YouTube","You have 4 active subscription(s). Total monthly spend: ₹4,546.10. Next debit: 2024-07-16."
CUST100015,4,4,0,1199.61,1194.53,2024-06-29,676236.07,Low,"Amazon, Google, Netflix, Spotify","You have 4 active subscription(s). Total monthly spend: ₹1,199.61. Next debit: 2024-06-29."
CUST100016,2,2,0,5256.59,5234.51,2024-07-24,697606.03,Low,"Coursera, Zoom","You have 2 active subscription(s). Total monthly spend: ₹5,256.59. Next debit: 2024-07-24."
CUST100017,4,3,1,1098.45,951.71,2024-06-26,1170852.76,High,"Google, Netflix, TimesOfIndia, Spotify","You have 4 active subscription(s). Total monthly spend: ₹1,098.45. Next debit: 2024-06-26."
CUST100018,2,2,0,247.33,247.17,2024-06-14,1877283.95,High,"Google, Spotify",You have 2 active subscription(s). Total monthly spend: ₹247.33. Next debit: 2024-06-14.
CUST100019,4,4,0,3932.64,3924.37,2024-07-06,2575833.61,High,"CultFit, LinkedIn, Swiggy, Zee5","You have 4 active subscription(s). Total monthly spend: ₹3,932.64. Next debit: 2024-07-06."
CUST100020,3,3,0,2804.33,2822.66,2024-06-25,1270720.59,High,"Adobe, CultFit, Spotify","You have 3 active subscription(s). Total monthly spend: ₹2,804.33. Next debit: 2024-06-25."
CUST100021,3,3,0,1936.09,1931.63,2024-07-06,1836834.03,Low,"Dropbox, BESCOM, Swiggy","You have 3 active subscription(s). Total monthly spend: ₹1,936.09. Next debit: 2024-07-06."
CUST100022,4,3,1,3409.48,2662.54,2024-07-04,1962406.03,Low,"Apple, BESCOM, AnytimeFitness, Disney+Hotstar","You have 4 active subscription(s). Total monthly spend: ₹3,409.48. Next debit: 2024-07-04."
CUST100023,3,2,1,2193.34,1443.38,2024-07-01,1630454.26,High,"Amazon, Dropbox, AnytimeFitness","You have 3 active subscription(s). Total monthly spend: ₹2,193.34. Next debit: 2024-07-01."
CUST100024,2,2,0,1856.15,1855.73,2024-06-27,472138.28,Low,"BESCOM, CultFit","You have 2 active subscription(s). Total monthly spend: ₹1,856.15. Next debit: 2024-06-27."
CUST100025,4,4,0,3670.88,3692.66,2024-06-18,2199792.92,High,"Adobe, Dropbox, CultFit, Zee5","You have 4 active subscription(s). Total monthly spend: ₹3,670.88. Next debit: 2024-06-18."
CUST100026,3,2,1,564.31,420.66,2024-07-07,1536058.22,Low,"TimesOfIndia, Swiggy, YouTube",You have 3 active subscription(s). Total monthly spend: ₹564.31. Next debit: 2024-07-07.
CUST100027,2,2,0,2561.44,2553.66,2024-07-02,1910777.89,Low,"Adobe, Dropbox","You have 2 active subscription(s). Total monthly spend: ₹2,561.44. Next debit: 2024-07-02."
CUST100028,4,4,0,896.74,897.92,2024-07-10,2692824.9,Low,"Microsoft, Spotify, Swiggy, Zee5",You have 4 active subscription(s). Total monthly spend: ₹896.74. Next debit: 2024-07-10.
CUST100029,3,3,0,5532.1,5512.54,2024-07-16,2453917.02,High,"Coursera, CultFit, Microsoft","You have 3 active subscription(s). Total monthly spend: ₹5,532.10. Next debit: 2024-07-16."
CUST100030,1,1,0,1493.29,1508.27,2024-07-18,2384560.8,Low,Disney+Hotstar,"You have 1 active subscription(s). Total monthly spend: ₹1,493.29. Next debit: 2024-07-18."
